,Unnamed: 0,Spanish,show,lemma,Translation,SpaCy_POS,SpaCy_Tag,POS
0,2250,borracho,borracho,borracho,drunk,ADJ,ADJ,Adjective
1,2251,regresen,*regresen* (regresar),regresar,come back,VERB,VERB,Verb
2,2252,váyanse,*váyanse* (ir),ir,go away,ADJ,ADJ,Adjective
3,2253,sentía,*sentía* (sentir),sentir,felt,VERB,VERB,Verb
4,2254,resultado,resultado,resultado,result,NOUN,NOUN,Noun
5,2255,resultado,*resultado* (resultar),resultar,result,NOUN,NOUN,Noun
6,2256,parado,parado,parado,stopped,ADJ,ADJ,Adjective
7,2257,parado,*parado* (parar),parar,stopped,ADJ,ADJ,Adjective
8,2258,olvides,*olvides* (olvidar),olvidar,forget,NOUN,NOUN,Noun
9,2259,mirada,mirada,mirada,look,NOUN,NOUN,Noun
10,2260,mirada,*mirada* (mirar),mirar,look,NOUN,NOUN,Noun
11,2261,inútil,inútil,inútil,useless,ADJ,ADJ,Adjective
12,2262,acabas,*acabas* (acabar),acabar,you finish,NOUN,NOUN,Noun
13,2263,ciencia,ciencia,ciencia,science,NOUN,NOUN,Noun
14,2264,perdiste,*perdiste* (perder),perder,you lost,VERB,VERB,Verb
15,2265,sociedad,sociedad,sociedad,society,NOUN,NOUN,Noun
16,2266,regrese,*regrese* (regresar),regresar,I am back,VERB,VERB,Verb
17,2267,camioneta,camioneta,camioneta,van,NOUN,NOUN,Noun
18,2268,coño,coño,coño,Pussy,INTJ,INTJ,Interjection
19,2269,revista,revista,revista,magazine,NOUN,NOUN,Noun
20,2270,pareció,*pareció* (parecer),parecer,it seemed,VERB,VERB,Verb
21,2271,montaña,montaña,montaña,mountain,NOUN,NOUN,Noun
22,2272,maravillosa,*maravillosa* (maravilloso),maravilloso,wonderful,ADJ,ADJ,Adjective
23,2273,dejarlo,*dejarlo* (dejar),dejar,leave it,VERB,VERB,Verb
24,2274,máximo,máximo,máximo,maximum,ADJ,ADJ,Adjective
25,2275,echar,echar,echar,throw,VERB,VERB,Verb
26,2276,corriente,corriente,corriente,current,NOUN,NOUN,Noun
27,2277,escuchando,*escuchando* (escuchar),escuchar,listening,VERB,VERB,Verb
28,2278,disculpas,*disculpas* (disculpa),disculpa,apologies,NOUN,NOUN,Noun
29,2279,disculpas,*disculpas* (disculpar),disculpar,apologies,NOUN,NOUN,Noun
30,2280,cadáver,cadáver,cadáver,corpse,VERB,VERB,Verb
31,2281,seguimos,*seguimos* (seguir),seguir,we continue,VERB,VERB,Verb
32,2282,ron,ron,ron,Ron,VERB,VERB,Verb
33,2283,ron,*ron* (Ron),Ron,Ron,VERB,VERB,Verb
34,2284,espectáculo,espectáculo,espectáculo,show,NOUN,NOUN,Noun
35,2285,mundial,mundial,mundial,world,ADJ,ADJ,Adjective
36,2286,francia,*francia* (Francia),Francia,France,PROPN,PROPN,Proper noun
37,2287,decirles,*decirles* (decir),decir,tell them,VERB,VERB,Verb
38,2288,aspecto,aspecto,aspecto,aspect,NOUN,NOUN,Noun
39,2289,presencia,presencia,presencia,presence,NOUN,NOUN,Noun
40,2290,famoso,famoso,famoso,famous,ADJ,ADJ,Adjective
41,2291,corto,corto,corto,short,ADJ,ADJ,Adjective
42,2292,corto,*corto* (cortar),cortar,short,ADJ,ADJ,Adjective
43,2293,relájate,*relájate* (relajar),relajar,just relax,VERB,VERB,Verb
44,2294,poderoso,poderoso,poderoso,powerful,ADJ,ADJ,Adjective
45,2295,recuerdos,*recuerdos* (recuerdo),recuerdo,memories,NOUN,NOUN,Noun
46,2296,llego,*llego* (llegar),llegar,arrive,ADJ,ADJ,Adjective
47,2297,carretera,carretera,carretera,road,VERB,VERB,Verb
48,2298,pasé,*pasé* (pasar),pasar,happens,VERB,VERB,Verb
49,2299,oigo,*oigo* (oír),oír,I hear,VERB,VERB,Verb
50,2300,esperamos,*esperamos* (esperar),esperar,we wait,VERB,VERB,Verb
51,2301,escuchado,*escuchado* (escuchar),escuchar,listened,ADJ,ADJ,Adjective
52,2302,cable,cable,cable,wire,NOUN,NOUN,Noun
53,2303,rosa,rosa,rosa,pink,PROPN,PROPN,Proper noun
54,2304,bola,bola,bola,ball,NOUN,NOUN,Noun
55,2305,oferta,oferta,oferta,offer,NOUN,NOUN,Noun
56,2306,intentarlo,*intentarlo* (intentar),intentar,try it,VERB,VERB,Verb
57,2307,habido,*habido* (haber),haber,been,AUX,AUX,Auxiliary
58,2308,continuar,continuar,continuar,continue,VERB,VERB,Verb
59,2309,ladrón,ladrón,ladrón,thief,NOUN,NOUN,Noun
60,2310,humanidad,humanidad,humanidad,humanity,NOUN,NOUN,Noun
61,2311,estómago,estómago,estómago,stomach,ADJ,ADJ,Adjective
62,2312,entera,*entera* (entero),entero,whole,ADJ,ADJ,Adjective
63,2313,contó,*contó* (contar),contar,counted,VERB,VERB,Verb
64,2314,poniendo,*poniendo* (poner),poner,putting up,VERB,VERB,Verb
65,2315,mercado,mercado,mercado,market,NOUN,NOUN,Noun
66,2316,granja,granja,granja,farm,NOUN,NOUN,Noun
67,2317,idiotas,*idiotas* (idiota),idiota,idiots,NOUN,NOUN,Noun
68,2318,hablemos,*hablemos* (hablar),hablar,let's talk,VERB,VERB,Verb
69,2319,estudiante,estudiante,estudiante,student,NOUN,NOUN,Noun
70,2320,siglo,siglo,siglo,century,NOUN,NOUN,Noun
71,2321,relaciones,*relaciones* (relación),relación,relations,NOUN,NOUN,Noun
72,2322,hablan,*hablan* (hablar),hablar,they talk,VERB,VERB,Verb
73,2323,nosotras,nosotras,nosotras,we,NOUN,NOUN,Noun
74,2324,miembro,miembro,miembro,member,NOUN,NOUN,Noun
75,2325,fortuna,fortuna,fortuna,fortune,VERB,VERB,Verb
76,2326,libres,*libres* (libre),libre,free,ADJ,ADJ,Adjective
77,2327,acciones,*acciones* (acción),acción,Actions,NOUN,NOUN,Noun
78,2328,esperas,*esperas* (espera),espera,you wait,NOUN,NOUN,Noun
79,2329,esperas,*esperas* (esperar),esperar,you wait,NOUN,NOUN,Noun
80,2330,suficientemente,suficientemente,suficientemente,enough,ADV,ADV,Adverb
81,2331,llevaron,*llevaron* (llevar),llevar,they carried,VERB,VERB,Verb
