,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*dormida* (dormido dormir),"*asleep*
verb: sleep, slumber, doze",*asleep*,dormido dormir,"[['sleep', 'slumber', 'doze', 'kip', 'doss', 'bunk down', 'live']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=dormida,"verb: sleep, slumber, doze"


1,*costó* (costar),"*cost*
noun: cost, charge",*cost*,costar,"[['cost', 'charge']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=costó,"noun: cost, charge"


2,*causar*,"*cause*
verb: cause, inflict, bring about",*cause*,causar,"[['cause', 'inflict', 'bring about', 'give', 'bring on', 'entail', 'occasion', 'beget', 'produce', 'touch off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=causar,"verb: cause, inflict, bring about"


3,*temer*,"*fear*
verb: fear, dread, apprehend",*fear*,temer,"[['fear', 'dread', 'apprehend']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=temer,"verb: fear, dread, apprehend"


4,*subiendo* (subir),"*going up*
verb: upload, rise, go up",*going up*,subir,"[['upload', 'rise', 'go up', 'come up', 'walk up', 'move up', 'gain', 'get up', 'step up', 'bump up', 'take up', 'carry up', 'advance']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=subiendo,"verb: upload, rise, go up"


5,*rollo*,"*roll*
noun: roll, reel, coil",*roll*,rollo,"[['roll', 'reel', 'coil', 'spiel', 'twist', 'jazz']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=rollo,"noun: roll, reel, coil"


6,*hechizo* (hechizo hechizar),"*spell*
noun: spell, charm, magic",*spell*,hechizo hechizar,"[['spell', 'charm', 'magic']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=hechizo,"noun: spell, charm, magic"


7,*gusano*,"*worm*
noun: worm, maggot, caterpillar",*worm*,gusano,"[['worm', 'maggot', 'caterpillar', 'earthworm', 'grub']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gusano,"noun: worm, maggot, caterpillar"


8,*guau*,"*Wow*
noun: woof",*Wow*,guau,[['woof']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=guau,noun: woof


9,*grupos* (grupo),"*groups*
noun: group, band, set",*groups*,grupo,"[['group', 'band', 'set', 'party', 'team', 'panel', 'cluster', 'bunch', 'unit', 'crowd', 'gang', 'batch', 'troupe', 'clump', 'troop', 'bevy', 'huddle', 'bank', 'mob', 'outfit', 'camp', 'block', 'posse', 'delegation', 'coterie', 'covey', 'delegacy', 'lot', 'parcel']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=grupos,"noun: group, band, set"


10,*discos* (disco),"*discs*
noun: disk, disc, record",*discs*,disco,"[['disk', 'disc', 'record', 'disco', 'dial', 'platter', 'puck', 'discus', 'diskette']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=discos,"noun: disk, disc, record"


