,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*crema*,"*cream*
noun: cream, custard",*cream*,crema,"[['cream', 'custard']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=crema,"noun: cream, custard"


1,*planeado* (planeado planear),"*planned*
verb: plan, glide, design",*planned*,planeado planear,"[['plan', 'glide', 'design', 'arrange', 'devise', 'plane', 'set up', 'project', 'program', 'mastermind', 'model', 'contrive', 'programme']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=planeado,"verb: plan, glide, design"


2,*mantenga* (mantener),"*keep up*
verb: maintain, keep, hold",*keep up*,mantener,"[['maintain', 'keep', 'hold', 'sustain', 'support', 'keep up', 'service', 'keep in', 'keep on', 'hold up', 'provide for', 'prop', 'abide', 'tend']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mantenga,"verb: maintain, keep, hold"


3,*juguete*,"*toy*
noun: toy, plaything, bauble",*toy*,juguete,"[['toy', 'plaything', 'bauble']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=juguete,"noun: toy, plaything, bauble"


4,*técnica*,"*technique*
noun: technique, technics",*technique*,técnica,"[['technique', 'technics']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=técnica,"noun: technique, technics"


5,*nacimiento*,"*birth*
noun: birth, source, rise",*birth*,nacimiento,"[['birth', 'source', 'rise', 'nativity', 'dawn', 'formation', 'calve']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=nacimiento,"noun: birth, source, rise"


6,*esperaré* (esperar),"*i will wait*
verb: wait, expect, wait for",*i will wait*,esperar,"[['wait', 'expect', 'wait for', 'hope', 'await', 'wait around', 'look for', 'hold on', 'hold off', 'wait about', 'hang on', 'hang around', 'hang about', 'stand around', 'stand about', 'stay']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=esperaré,"verb: wait, expect, wait for"


7,*termino* (terminar),"*term*
noun: term, end, word",*term*,terminar,"[['term', 'end', 'word', 'terminus', 'concept', 'definition', 'finisher']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=termino,"noun: term, end, word"


8,*matas* (matar),"*you kill*
verb: kill, slay, murder",*you kill*,matar,"[['kill', 'slay', 'murder', 'slaughter', 'shoot', 'destroy', 'butcher', 'swat', 'homicide', 'cut down', 'knock off', 'carry off', 'do in', 'dispose of']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=matas,"verb: kill, slay, murder"


9,*entrado* (entrar),"*entered*
adjective: joined",*entered*,entrar,[['joined']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=entrado,adjective: joined


10,*destruido* (destruido destruir),"*destroyed*
adjective: destroyed",*destroyed*,destruido destruir,[['destroyed']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=destruido,adjective: destroyed


