,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*imaginas* (imaginar),"*imagine*
verb: imagine, think, figure",*imagine*,imaginar,"[['imagine', 'think', 'figure', 'guess', 'think up', 'suspect', 'think out', 'figure up', 'think over', 'construct']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=imaginas,"verb: imagine, think, figure"


1,*habitaciones* (habitación),"*bedrooms*
noun: room, habitation, accommodation",*bedrooms*,habitación,"[['room', 'habitation', 'accommodation', 'living room', 'lodgings', 'inhabitation', 'compartment', 'quarterage', 'house-room']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=habitaciones,"noun: room, habitation, accommodation"


2,*grecia* (Grecia),"*Greece*
noun: Greece",*Greece*,Grecia,[['Greece']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=grecia,noun: Greece


3,*entré* (entrar),"*between*
preposition: between, among, amongst
adverb: in between",*between*,entrar,"[['between', 'among', 'amongst', 'within', 'amid', 'amidst', 'midst', 'betwixt', 'in the midst of'], ['in between']]",preposition adverb,preposition adverb,https://www.linguee.com/english-dutch/search?source=auto&query=entré,"preposition: between, among, amongst
adverb: in between"


4,*díselo* (decir),"*tell her*
",*tell her*,decir,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=díselo,


5,*césar* (césar César),"*cease*
noun: Caesar",*cease*,césar César,[['Caesar']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=césar,noun: Caesar


6,*comprado* (comprado comprar),"*bought*
verb: buy, purchase, get",*bought*,comprado comprar,"[['buy', 'purchase', 'get', 'buy up', 'pick up', 'invest in', 'lay in', 'take over']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=comprado,"verb: buy, purchase, get"


7,*cocaína*,"*cocaine*
noun: cocaine, snow",*cocaine*,cocaína,"[['cocaine', 'snow']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cocaína,"noun: cocaine, snow"


8,*amarillo*,"*yellow*
adjective: yellow, buff, sensational
noun: yellow",*yellow*,amarillo,"[['yellow', 'buff', 'sensational'], ['yellow']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=amarillo,"adjective: yellow, buff, sensational
noun: yellow"


9,*acabará* (acabar),"*will end*
verb: end, finish, complete",*will end*,acabar,"[['end', 'finish', 'complete', 'terminate', 'come', 'wind up', 'round off', 'land', 'accomplish', 'get over', 'expire', 'go out', 'discontinue', 'play out', 'break off', 'top off', 'eat up', 'let up', 'give over']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=acabará,"verb: end, finish, complete"


10,*suceda* (suceder),"*happen*
verb: happen, occur, come about",*happen*,suceder,"[['happen', 'occur', 'come about', 'befall']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=suceda,"verb: happen, occur, come about"


11,*mentes* (mente),"*minds*
noun: mind, mentality, intelligence",*minds*,mente,"[['mind', 'mentality', 'intelligence']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mentes,"noun: mind, mentality, intelligence"


