,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*pasaporte*,"*passport*
noun: passport",*passport*,pasaporte,[['passport']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=pasaporte,noun: passport


1,*extraños* (extraño),"*strangers*
adjective: strange, weird, odd
noun: alien",*strangers*,extraño,"[['strange', 'weird', 'odd', 'foreign', 'bizarre', 'queer', 'uncommon', 'extraneous', 'peculiar', 'eerie', 'singular', 'quaint', 'kinky', 'oddish', 'out-of-the-way'], ['alien']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=extraños,"adjective: strange, weird, odd
noun: alien"


2,*ciento*,"*hundred*
noun: hundred
: one hundred",*hundred*,ciento,"[['hundred'], ['one hundred']]",noun ,noun ,https://www.linguee.com/english-dutch/search?source=auto&query=ciento,"noun: hundred
: one hundred"


3,*afortunado*,"*lucky*
adjective: lucky, fortunate, happy",*lucky*,afortunado,"[['lucky', 'fortunate', 'happy', 'providential']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=afortunado,"adjective: lucky, fortunate, happy"


4,*sacó* (sacar),"*coat*
noun: sack, bag, sac",*coat*,sacar,"[['sack', 'bag', 'sac', 'coat', 'jacket', 'sackful', 'carrier bag']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=sacó,"noun: sack, bag, sac"


5,*irán* (ir),"*Iran*
noun: Iran",*Iran*,ir,[['Iran']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=irán,noun: Iran


6,*sacerdote*,"*priest*
noun: priest, churchman, parson",*priest*,sacerdote,"[['priest', 'churchman', 'parson', 'deacon']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=sacerdote,"noun: priest, churchman, parson"


7,*pedirle* (pedir),"*ask him*
",*ask him*,pedir,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=pedirle,


8,*impuestos* (impuesto imponer),"*taxes*
noun: taxation",*taxes*,impuesto imponer,[['taxation']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=impuestos,noun: taxation


9,*crisis*,"*crisis*
noun: crisis, emergency, depression",*crisis*,crisis,"[['crisis', 'emergency', 'depression']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=crisis,"noun: crisis, emergency, depression"


10,*aventura*,"*adventure*
noun: adventure, venture, affair",*adventure*,aventura,"[['adventure', 'venture', 'affair', 'escapade', 'adventurousness', 'hazard']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=aventura,"noun: adventure, venture, affair"


11,*puestos* (puesto poner),"*stalls*
noun: post, position, place
adjective: established, landed, laid",*stalls*,puesto poner,"[['post', 'position', 'place', 'job', 'envelope', 'cadre', 'employment', 'degree', 'rating', 'stand', 'station', 'stall', 'booth'], ['established', 'landed', 'laid', 'inserted']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=puestos,"noun: post, position, place
adjective: established, landed, laid"


