,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*escudo*,"*shield*
noun: shield, escutcheon, buckler",*shield*,escudo,"[['shield', 'escutcheon', 'buckler', 'coat of arms', 'sheave', 'escudo', 'arms', 'scute', 'scutum']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=escudo,"noun: shield, escutcheon, buckler"


1,*cueva*,"*cave*
noun: cave, cavern, pothole",*cave*,cueva,"[['cave', 'cavern', 'pothole']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cueva,"noun: cave, cavern, pothole"


2,*aérea* (aéreo),"*aerial*
adjective: air, aerial, overhead",*aerial*,aéreo,"[['air', 'aerial', 'overhead']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=aérea,"adjective: air, aerial, overhead"


3,*levantar*,"*get up*
verb: lift, raise, pick up",*get up*,levantar,"[['lift', 'raise', 'pick up', 'build', 'get up', 'lift up', 'erect', 'raise up', 'pull up', 'set up', 'boost', 'put up', 'adjourn', 'hoist', 'elevate', 'heave', 'rouse', 'jack', 'push up', 'flush', 'heft', 'break up', 'wind up', 'spring', 'hitch', 'ring up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=levantar,"verb: lift, raise, pick up"


4,*juguetes* (juguete),"*toys*
noun: toy, plaything, bauble",*toys*,juguete,"[['toy', 'plaything', 'bauble']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=juguetes,"noun: toy, plaything, bauble"


5,*ciertamente*,"*certainly*
adverb: certainly, surely, assuredly",*certainly*,ciertamente,"[['certainly', 'surely', 'assuredly', 'yea', 'exactly', 'by all odds']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=ciertamente,"adverb: certainly, surely, assuredly"


6,*bajen* (bajar),"*come down*
verb: lower, get off, go down",*come down*,bajar,"[['lower', 'get off', 'go down', 'descend', 'drop', 'come down', 'reduce', 'get down', 'bring down', 'walk down', 'turn down', 'climb down', 'let down', 'pull down', 'hop off', 'step down', 'take down', 'walk off', 'bow', 'put down', 'dismount', 'drop off', 'go below', 'wind down', 'ebb', 'demote', 'fall off', 'duck', 'sag', 'abate', 'lift down', 'stoop', 'depreciate', 'hand down', 'ring down', 'detrain', 'demean', 'deign', 'go belowdecks', 'decline', 'fall']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=bajen,"verb: lower, get off, go down"


7,*temas* (tema),"*topics*
noun: theme, topic, subject",*topics*,tema,"[['theme', 'topic', 'subject', 'motif', 'subject-matter']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=temas,"noun: theme, topic, subject"


8,*pedirte* (pedir),"*ask you*
",*ask you*,pedir,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=pedirte,


