,Unnamed: 0,Spanish,show,lemma,Translation,SpaCy_POS,SpaCy_Tag,POS
0,600,seguir,seguir,seguir,continue,VERB,VERB,Verb
1,601,pueblo,pueblo,pueblo,town,NOUN,NOUN,Noun
2,602,tenga,*tenga* (tener),tener,have,VERB,VERB,Verb
3,603,caballeros,*caballeros* (caballero),caballero,gentlemen,NOUN,NOUN,Noun
4,604,idiota,idiota,idiota,moron,NOUN,NOUN,Noun
5,605,dio,*dio* (dar),dar,gave,VERB,VERB,Verb
6,606,minuto,minuto,minuto,minute,ADJ,ADJ,Adjective
7,607,bebé,bebé,bebé,baby,NOUN,NOUN,Noun
8,608,única,*única* (único),único,only,ADJ,ADJ,Adjective
9,609,lejos,lejos,lejos,far,ADV,ADV,Adverb
10,610,nuestras,*nuestras* (nuestro),nuestro,our,DET,DET,Determiner
11,611,plan,plan,plan,plan,NOUN,NOUN,Noun
12,612,pienso,*pienso* (pensar),pensar,I think,VERB,VERB,Verb
13,613,sentido,sentido,sentido,sense,NOUN,NOUN,Noun
14,614,sentido,*sentido* (sentir),sentir,sense,NOUN,NOUN,Noun
15,615,dormir,dormir,dormir,sleep,VERB,VERB,Verb
16,616,digas,*digas* (decir),decir,you say,NOUN,NOUN,Noun
17,617,palabra,palabra,palabra,word,NOUN,NOUN,Noun
18,618,correcto,correcto,correcto,correct,ADJ,ADJ,Adjective
19,619,control,control,control,control,NOUN,NOUN,Noun
20,620,vemos,*vemos* (ver),ver,we see,VERB,VERB,Verb
21,621,entiendes,*entiendes* (entender),entender,you understand,NOUN,NOUN,Noun
22,622,país,país,país,country,NOUN,NOUN,Noun
23,623,seis,seis,seis,six,NUM,NUM,Numeral
24,624,último,último,último,last,ADJ,ADJ,Adjective
25,625,ésta,ésta,ésta,this,PRON,PRON,Pronoun
26,626,diga,*diga* (decir),decir,say,VERB,VERB,Verb
27,627,podrías,*podrías* (poder),poder,could you,NOUN,NOUN,Noun
28,628,pequeña,pequeña,pequeña,small,ADJ,ADJ,Adjective
29,629,cállate,*cállate* (callar),callar,be quiet,NOUN,NOUN,Noun
30,630,trato,trato,trato,deal,VERB,VERB,Verb
31,631,trato,*trato* (tratar),tratar,deal,VERB,VERB,Verb
32,632,rey,rey,rey,king,NOUN,NOUN,Noun
33,633,sucede,*sucede* (suceder),suceder,happens,VERB,VERB,Verb
34,634,muchachos,*muchachos* (muchacho),muchacho,boys,NOUN,NOUN,Noun
35,635,jamás,jamás,jamás,never,ADV,ADV,Adverb
36,636,cama,cama,cama,bed,NOUN,NOUN,Noun
37,637,srta,*srta* (señorita),señorita,Ms,ADJ,ADJ,Adjective
38,638,ayudar,ayudar,ayudar,help,VERB,VERB,Verb
39,639,acerca,acerca,acerca,about,ADV,ADV,Adverb
40,640,acerca,*acerca* (acercar),acercar,about,ADV,ADV,Adverb
41,641,di,*di* (dar),dar,gave,VERB,VERB,Verb
42,642,cambio,cambio,cambio,change,NOUN,NOUN,Noun
43,643,cambio,*cambio* (cambiar),cambiar,change,NOUN,NOUN,Noun
44,644,falta,falta,falta,lack,NOUN,NOUN,Noun
45,645,falta,*falta* (faltar),faltar,lack,NOUN,NOUN,Noun
46,646,hospital,hospital,hospital,hospital,NOUN,NOUN,Noun
47,647,lleva,*lleva* (llevar),llevar,carry,VERB,VERB,Verb
48,648,presidente,presidente,presidente,president,NOUN,NOUN,Noun
49,649,mil,mil,mil,thousand,NUM,NUM,Numeral
50,650,gusto,gusto,gusto,taste,NOUN,NOUN,Noun
51,651,gusto,*gusto* (gustar),gustar,taste,NOUN,NOUN,Noun
52,652,conoces,*conoces* (conocer),conocer,you know,NOUN,NOUN,Noun
53,653,diciendo,*diciendo* (decir),decir,saying,VERB,VERB,Verb
54,654,os,os,os,you,PRON,PRON,Pronoun
55,655,ido,*ido* (ir),ir,gone,VERB,VERB,Verb
56,656,general,general,general,general,ADJ,ADJ,Adjective
57,657,extraño,extraño,extraño,strange,ADJ,ADJ,Adjective
58,658,extraño,*extraño* (extrañar),extrañar,strange,ADJ,ADJ,Adjective
59,659,semanas,*semanas* (semana),semana,weeks,NOUN,NOUN,Noun
60,660,coche,coche,coche,car,NOUN,NOUN,Noun
61,661,peor,peor,peor,worse,ADJ,ADJ,Adjective
62,662,peor,*peor* (bien),bien,worse,ADJ,ADJ,Adjective
63,663,mucha,*mucha* (mucho),mucho,a lot,DET,DET,Determiner
64,664,disculpe,*disculpe* (disculpar),disculpar,excuse me,VERB,VERB,Verb
65,665,diré,*diré* (decir),decir,I will say,VERB,VERB,Verb
66,666,anoche,anoche,anoche,last night,ADV,ADV,Adverb
67,667,perder,perder,perder,lose,VERB,VERB,Verb
68,668,vámonos,*vámonos* (ir),ir,let's go,NOUN,NOUN,Noun
69,669,nave,nave,nave,ship,NOUN,NOUN,Noun
70,670,cielo,cielo,cielo,darling,NOUN,NOUN,Noun
71,671,habrá,*habrá* (haber),haber,there will be,AUX,AUX,Auxiliary
72,672,orden,orden,orden,order,NOUN,NOUN,Noun
73,673,segura,*segura* (seguro),seguro,safe,ADJ,ADJ,Adjective
74,674,querida,querida,querida,Dear,ADJ,ADJ,Adjective
75,675,querida,*querida* (querido),querido,Dear,ADJ,ADJ,Adjective
76,676,querida,*querida* (querer),querer,Dear,ADJ,ADJ,Adjective
77,677,niña,niña,niña,little girl,NOUN,NOUN,Noun
78,678,increíble,increíble,increíble,incredible,ADJ,ADJ,Adjective
79,679,además,además,además,besides,ADV,ADV,Adverb
80,680,deben,*deben* (deber),deber,they must,AUX,AUX,Auxiliary
81,681,libro,libro,libro,book,NOUN,NOUN,Noun
82,682,calle,calle,calle,street,NOUN,NOUN,Noun
83,683,calle,*calle* (callar),callar,street,NOUN,NOUN,Noun
84,684,café,café,café,coffee,NOUN,NOUN,Noun
85,685,piensas,*piensas* (pensar),pensar,you think,VERB,VERB,Verb
86,686,hacemos,*hacemos* (hacer),hacer,we make,VERB,VERB,Verb
87,687,especial,especial,especial,special,ADJ,ADJ,Adjective
88,688,queremos,*queremos* (querer),querer,we want,VERB,VERB,Verb
89,689,irme,*irme* (ir),ir,leave,VERB,VERB,Verb
90,690,perfecto,perfecto,perfecto,perfect,ADJ,ADJ,Adjective
91,691,buscar,buscar,buscar,look for,VERB,VERB,Verb
92,692,odio,odio,odio,hate,VERB,VERB,Verb
93,693,odio,*odio* (odiar),odiar,hate,VERB,VERB,Verb
94,694,piensa,*piensa* (pensar),pensar,think,VERB,VERB,Verb
95,695,oficina,oficina,oficina,office,ADJ,ADJ,Adjective
96,696,hablas,*hablas* (hablar),hablar,speak,NOUN,NOUN,Noun
97,697,hablas,*hablas* (habla),habla,speak,NOUN,NOUN,Noun
