,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*circunstancias* (circunstancia),"*circumstances*
noun: circumstances, circs",*circumstances*,circunstancia,"[['circumstances', 'circs']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=circunstancias,"noun: circumstances, circs"


1,*trabajamos* (trabajar),"*we work*
verb: work, job, labor",*we work*,trabajar,"[['work', 'job', 'labor', 'labour']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=trabajamos,"verb: work, job, labor"


2,*amén*,"*amen*
noun: amen",*amen*,amén,[['amen']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=amén,noun: amen


3,*funcionando* (funcionar),"*running*
verb: work, function, run",*running*,funcionar,"[['work', 'function', 'run', 'operate', 'perform', 'act', 'start', 'behave', 'flush', 'functionate', 'go']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=funcionando,"verb: work, function, run"


4,*personalidad*,"*personality*
noun: personality, presence",*personality*,personalidad,"[['personality', 'presence']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=personalidad,"noun: personality, presence"


5,*muro*,"*Wall*
noun: wall",*Wall*,muro,[['wall']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=muro,noun: wall


6,*contestar*,"*to answer*
verb: answer, reply, write back",*to answer*,contestar,"[['answer', 'reply', 'write back']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=contestar,"verb: answer, reply, write back"


7,*razon* (razón),"*reason*
noun: reason, ratio, rate",*reason*,razón,"[['reason', 'ratio', 'rate', 'cause', 'argument', 'gist']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=razon,"noun: reason, ratio, rate"


8,*peores* (peor),"*worse*
adjective: worst, worse, worse off",*worse*,peor,"[['worst', 'worse', 'worse off']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=peores,"adjective: worst, worse, worse off"


9,*particular*,"*particular*
adjective: particular, special, private
noun: private person, private citizen",*particular*,particular,"[['particular', 'special', 'private', 'individual', ""of one's own""], ['private person', 'private citizen']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=particular,"adjective: particular, special, private
noun: private person, private citizen"


10,*llévame* (llevar),"*ride me*
",*ride me*,llevar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=llévame,


11,*gimnasio*,"*gym*
noun: gym, fitness center, gymnasium",*gym*,gimnasio,"[['gym', 'fitness center', 'gymnasium', 'house']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gimnasio,"noun: gym, fitness center, gymnasium"


12,*emocionante*,"*exciting*
adjective: exciting, thrilling, moving",*exciting*,emocionante,"[['exciting', 'thrilling', 'moving', 'emotional', 'stirring', 'deep-felt']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=emocionante,"adjective: exciting, thrilling, moving"


