,Unnamed: 0,Spanish,show,lemma,Translation,SpaCy_POS,SpaCy_Tag,POS
0,1800,gana,*gana* (ganar),ganar,win,VERB,VERB,Verb
1,1801,cura,cura,cura,healing,NOUN,NOUN,Noun
2,1802,cura,*cura* (curar),curar,healing,NOUN,NOUN,Noun
3,1803,lengua,lengua,,language,NOUN,NOUN,Noun
4,1804,araña,araña,araña,spider,NOUN,NOUN,Noun
5,1805,araña,*araña* (arañar),arañar,spider,NOUN,NOUN,Noun
6,1806,podré,*podré* (poder),,I will be able,AUX,AUX,Auxiliary
7,1807,voluntad,voluntad,,willpower,NOUN,NOUN,Noun
8,1808,total,total,,total,ADJ,ADJ,Adjective
9,1809,dedo,dedo,,finger,NOUN,NOUN,Noun
10,1810,pago,pago,pago,pay,NOUN,NOUN,Noun
11,1811,pago,*pago* (pagar),pagar,pay,NOUN,NOUN,Noun
12,1812,agradezco,*agradezco* (agradecer),,I appreciate,VERB,VERB,Verb
13,1813,partir,partir,,leave,VERB,VERB,Verb
14,1814,lucha,lucha,lucha,struggle,NOUN,NOUN,Noun
15,1815,lucha,*lucha* (luchar),luchar,struggle,NOUN,NOUN,Noun
16,1816,leche,leche,,milk,NOUN,NOUN,Noun
17,1817,diste,*diste* (dar),,you gave,VERB,VERB,Verb
18,1818,copa,copa,,Cup,PROPN,PROPN,Proper noun
19,1819,quedarte,*quedarte* (quedar),,stay,VERB,VERB,Verb
20,1820,seguros,*seguros* (seguro),,insurance,ADJ,ADJ,Adjective
21,1821,destruir,destruir,,destroy,VERB,VERB,Verb
22,1822,bienvenidos,*bienvenidos* (bienvenido),,welcome,ADJ,ADJ,Adjective
23,1823,llevan,*llevan* (llevar),,They carry,VERB,VERB,Verb
24,1824,ponga,*ponga* (poner),,put,VERB,VERB,Verb
25,1825,lados,*lados* (lado),,sides,ADJ,ADJ,Adjective
26,1826,acceso,acceso,,access,NOUN,NOUN,Noun
27,1827,intentar,intentar,,attempt,VERB,VERB,Verb
28,1828,trajo,*trajo* (traer),,brought,VERB,VERB,Verb
29,1829,desastre,desastre,,disaster,NOUN,NOUN,Noun
30,1830,deber,deber,,duty,NOUN,NOUN,Noun
31,1831,herida,herida,herida,wound,ADJ,ADJ,Adjective
32,1832,herida,*herida* (herido),herido,wound,ADJ,ADJ,Adjective
33,1833,herida,*herida* (herir),herir,wound,ADJ,ADJ,Adjective
34,1834,débil,débil,,weak,ADJ,ADJ,Adjective
35,1835,naturaleza,naturaleza,,nature,NOUN,NOUN,Noun
36,1836,luchar,luchar,,struggle,VERB,VERB,Verb
37,1837,extraña,*extraña* (extraño),extraño,strange,VERB,VERB,Verb
38,1838,extraña,*extraña* (extrañar),extrañar,strange,VERB,VERB,Verb
39,1839,encontraste,*encontraste* (encontrar),,by contrast,VERB,VERB,Verb
40,1840,vieron,*vieron* (ver),,they saw,VERB,VERB,Verb
41,1841,llámame,*llámame* (llamar),,call me,ADJ,ADJ,Adjective
42,1842,imagen,imagen,,image,NOUN,NOUN,Noun
43,1843,pan,pan,,bread,NOUN,NOUN,Noun
44,1844,refieres,*refieres* (referir),,you mean,NOUN,NOUN,Noun
45,1845,clientes,*clientes* (cliente),,customers,NOUN,NOUN,Noun
46,1846,varios,varios,,several,DET,DET,Determiner
47,1847,show,show,,Show,NOUN,NOUN,Noun
48,1848,auxilio,auxilio,,help,NOUN,NOUN,Noun
