,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*vamonos* (ir),"*let's go*
",*let's go*,ir,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=vamonos,


1,*trucos* (truco),"*tricks*
noun: trick, gimmick, knack",*tricks*,truco,"[['trick', 'gimmick', 'knack', 'dodge', 'hoax', 'gag', 'wangle']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=trucos,"noun: trick, gimmick, knack"


2,*preparada* (preparado preparar),"*prepared*
adjective: prepared, ready, trained",*prepared*,preparado preparar,"[['prepared', 'ready', 'trained', 'ready-for-service', 'laid', 'drafted']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=preparada,"adjective: prepared, ready, trained"


3,*funcionará* (funcionar),"*it will work*
verb: work, function, run",*it will work*,funcionar,"[['work', 'function', 'run', 'operate', 'perform', 'act', 'start', 'behave', 'flush', 'functionate', 'go']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=funcionará,"verb: work, function, run"


4,*conté* (contar),"*counted*
verb: count, tell, reckon",*counted*,contar,"[['count', 'tell', 'reckon', 'recount', 'number', 'relate', 'narrate', 'bank', 'calculate', 'spin', 'pitch', 'peddle', 'yarn', 'check', 'retail']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=conté,"verb: count, tell, reckon"


5,*contando* (contar),"*counting*
verb: count, tell, reckon",*counting*,contar,"[['count', 'tell', 'reckon', 'recount', 'number', 'relate', 'narrate', 'bank', 'calculate', 'spin', 'pitch', 'peddle', 'yarn', 'check', 'retail']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=contando,"verb: count, tell, reckon"


6,*construcción*,"*construction*
noun: construction, building, structure",*construction*,construcción,"[['construction', 'building', 'structure', 'erection', 'making', 'building trade', 'setting-up']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=construcción,"noun: construction, building, structure"


7,*ciudadanos* (ciudadano),"*citizens*
noun: town, townsfolk",*citizens*,ciudadano,"[['town', 'townsfolk']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=ciudadanos,"noun: town, townsfolk"


8,*agarrar*,"*grab*
verb: grab, grasp, grip",*grab*,agarrar,"[['grab', 'grasp', 'grip', 'catch', 'hold', 'seize', 'get', 'take', 'clutch', 'get hold of', 'grapple', 'snatch up', 'catch hold of', 'nail', 'lift', 'lay hold of', 'clench', 'take on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=agarrar,"verb: grab, grasp, grip"


9,*infeliz*,"*unhappy*
adjective: unhappy, unfortunate, infelicitous
noun: unfortunate, wretch",*unhappy*,infeliz,"[['unhappy', 'unfortunate', 'infelicitous'], ['unfortunate', 'wretch']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=infeliz,"adjective: unhappy, unfortunate, infelicitous
noun: unfortunate, wretch"


