,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*dj* (DJ),"*DJ*
abbreviation: DJ",*DJ*,DJ,[['DJ']],abbreviation,abbreviation,https://www.linguee.com/english-dutch/search?source=auto&query=dj,abbreviation: DJ


1,*descansa* (descansar),"*rest*
verb: rest, lie, repose",*rest*,descansar,"[['rest', 'lie', 'repose', 'take a rest', 'recline', 'lay over', 'lie up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=descansa,"verb: rest, lie, repose"


2,*copias* (copia),"*do you copy*
noun: copy, replica, transcript",*do you copy*,copia,"[['copy', 'replica', 'transcript']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=copias,"noun: copy, replica, transcript"


3,*apagar*,"*to turn off*
verb: turn off, put out, blow out",*to turn off*,apagar,"[['turn off', 'put out', 'blow out', 'turn out', 'douse', 'mute', 'smother', 'silence', 'slake', 'kill', 'stub out', 'put off', 'beat out', 'puff out']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=apagar,"verb: turn off, put out, blow out"


4,*profesionales* (profesional),"*professionals*
adjective: professional, vocational, occupational
noun: professional, pro",*professionals*,profesional,"[['professional', 'vocational', 'occupational', 'pro'], ['professional', 'pro']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=profesionales,"adjective: professional, vocational, occupational
noun: professional, pro"


5,*práctica*,"*practice*
noun: practice, practicing, praxis",*practice*,práctica,"[['practice', 'practicing', 'praxis', 'practising']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=práctica,"noun: practice, practicing, praxis"


6,*investigando* (investigar),"*doing research*
verb: investigate, research, explore",*doing research*,investigar,"[['investigate', 'research', 'explore', 'look into', 'study', 'probe', 'probe into', 'see into']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=investigando,"verb: investigate, research, explore"


7,*francamente*,"*frankly*
adverb: frankly, openly, honestly",*frankly*,francamente,"[['frankly', 'openly', 'honestly', 'outright', 'bluntly', 'plainly', 'plain', 'outspokenly']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=francamente,"adverb: frankly, openly, honestly"


8,*afganistán* (Afganistán),"*Afghanistan*
noun: Afghanistan",*Afghanistan*,Afganistán,[['Afghanistan']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=afganistán,noun: Afghanistan


9,*vecino*,"*neighbor*
adjective: neighbor, neighboring, next
noun: neighbor, resident, local",*neighbor*,vecino,"[['neighbor', 'neighboring', 'next', 'near', 'neighbouring', 'neighbour'], ['neighbor', 'resident', 'local', 'citizen', 'denizen', 'neighbour']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=vecino,"adjective: neighbor, neighboring, next
noun: neighbor, resident, local"


10,*trozo*,"*piece*
noun: piece, slice, scrap",*piece*,trozo,"[['piece', 'slice', 'scrap', 'section', 'portion', 'fragment', 'passage', 'segment', 'extract', 'gob', 'offcut', 'cluster']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=trozo,"noun: piece, slice, scrap"


