,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*borracho*,"*drunk*
adjective: drunk, drunken, boozy
noun: drunkard, alcoholic, boozer",*drunk*,borracho,"[['drunk', 'drunken', 'boozy', 'tight', 'inebriate', 'loaded', 'sloshed', 'fuddled', 'stewed', 'boiled', 'crapulent', 'lushed', 'capernoited'], ['drunkard', 'alcoholic', 'boozer', 'rummy', 'souse', 'addicted to wine', 'dram drinker']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=borracho,"adjective: drunk, drunken, boozy
noun: drunkard, alcoholic, boozer"


1,*regresen* (regresar),"*come back*
verb: return, go back, come back",*come back*,regresar,"[['return', 'go back', 'come back', 'get back', 'take back', 'put back', 'call back', 'throw back']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=regresen,"verb: return, go back, come back"


2,*váyanse* (ir),"*go away*
",*go away*,ir,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=váyanse,


3,*sentía* (sentir),"*felt*
verb: feel, sense, regret",*felt*,sentir,"[['feel', 'sense', 'regret', 'be sorry', 'be sorry to']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=sentía,"verb: feel, sense, regret"


4,*resultado* (resultado resultar),"*result*
noun: result, outcome, effect",*result*,resultado resultar,"[['result', 'outcome', 'effect', 'consequence', 'sequence', 'accomplishment', 'issue', 'total', 'score', 'aftermath', 'answer', 'upshot']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=resultado,"noun: result, outcome, effect"


5,*parado* (parado parar),"*stopped*
adjective: stationary, still, motionless",*stopped*,parado parar,"[['stationary', 'still', 'motionless', 'idle', 'unemployed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=parado,"adjective: stationary, still, motionless"


6,*olvides* (olvidar),"*forget*
verb: forget, neglect, leave",*forget*,olvidar,"[['forget', 'neglect', 'leave', 'get over', 'omit', 'leave behind', 'leave out', 'condone', 'come off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=olvides,"verb: forget, neglect, leave"


7,*mirada* (mirada mirar),"*look*
noun: look, gaze, glance",*look*,mirada mirar,"[['look', 'gaze', 'glance', 'peek', 'regard']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mirada,"noun: look, gaze, glance"


8,*inútil*,"*useless*
adjective: useless, pointless, vain",*useless*,inútil,"[['useless', 'pointless', 'vain', 'waste', 'helpless', 'of no use', 'needless', 'unprofitable', 'unavailing', 'of no avail', 'unsuccessful', 'naught', 'purposeless', 'profitless', 'no-go', 'good-for-nothing']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=inútil,"adjective: useless, pointless, vain"


9,*acabas* (acabar),"*you finish*
verb: end, finish, complete",*you finish*,acabar,"[['end', 'finish', 'complete', 'terminate', 'come', 'wind up', 'round off', 'land', 'accomplish', 'get over', 'expire', 'go out', 'discontinue', 'play out', 'break off', 'top off', 'eat up', 'let up', 'give over']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=acabas,"verb: end, finish, complete"


