Unnamed: 0,Dutch,POS,Translation
600,nieuw,adjective,new
601,elk,pronoun,each
602,erin,in it,in it
603,ontmoeten,verb,Meet
604,vechten,verb,to fight
605,voorzichtig,adjective,carefully
606,geworden,verb,become
607,enkel,adjective,single
608,kwijt,adjective,lost
609,noemen,verb,to call
610,valt,verb,fall
611,prachtig,adjective,beautiful
612,rijden,verb,to ride
613,zin,noun,sentence
614,hield,verb,loved
615,daarna,adverb,then
616,mens,noun,man
617,schieten,verb,to shoot
618,grappig,adjective,funny
619,stap,noun,step
620,zichzelf,pronoun,himself
621,kantoor,noun,office
622,wapens,noun,weapons
623,normaal,adjective,normal
624,slechte,adjective,poor
625,maakte,verb,made
626,moord,noun,murder
627,gebeld,verb,called
628,ervoor,before,before
629,ten,at,at
630,heer,noun,gentleman
631,loopt,verb,runs
632,einde,noun,end
633,gegaan,verb,gone
634,gang,noun,hallway
635,vertelde,verb,told
636,spel,noun,game
637,informatie,noun,information
638,frank,frank,Frank
639,dames,adjective,ladies
640,naartoe,preposition,to
641,allebei,adjective,both
642,leg,noun,put
643,acht,noun,eight
644,pap,noun,dad
645,seks,noun,sex
646,minder,adjective,fewer
647,gevoel,noun,feeling
648,trouwen,verb,to marry
649,nogal,adverb,rather
650,eh,er,uh
651,voelen,verb,to feel
652,begint,verb,begins
653,plezier,noun,pleasure
654,meisjes,adjective,girls
655,stuur,noun,send
656,foto,noun,photo
657,vreemd,adjective,foreign
658,zomaar,adverb,just like that
659,verkeerd,adjective,wrong
660,zeven,verb,seven
661,lucht,noun,sky
662,grond,noun,ground
663,leeft,verb,lives
664,nam,verb,took
665,pardon,interjection,excuse me
666,verwacht,verb,expected
667,kopen,verb,to buy
668,koffie,noun,coffee
669,onderzoek,noun,research
670,gesproken,verb,spoken
671,herinner,verb,remember
672,idioot,noun,idiot
673,ziekenhuis,noun,Hopital
674,daarmee,adverb,with that
675,shit,shit,shit
676,eindelijk,adverb,finally
677,perfect,adjective,perfect
678,goeie,good,good
679,gisteren,adverb,yesterday
680,aarde,noun,soil
681,contact,noun,Contact
682,zus,noun,sister
683,erbij,there,there
684,beschermen,verb,to protect
685,gevangenis,noun,jail
686,persoon,noun,person
687,winnen,verb,to win
688,kracht,noun,power
689,ziek,adjective,sick
690,omhoog,adverb,upwards
691,beloof,verb,promise
692,gebruik,noun,usage
693,hoezo,adverb,how so
694,degene,the one,the one
695,trek,noun,pull
696,meen,verb,mean
697,enkele,adverb,a few
698,getrouwd,adjective,married
699,gevraagd,adjective,asked
