Unnamed: 0,Dutch,POS,Translation
500,slapen,verb,to sleep
501,ver,adjective,far
502,reden,noun,rode
503,fout,noun,wrong
504,vallen,verb,traps
505,maanden,noun,months
506,mogen,verb,to be allowed to
507,oud,adjective,old
508,vergeet,verb,forgets
509,voelt,verb,feels
510,vent,noun,guy
511,sir,sir,sir
512,hoorde,verb,heard
513,hoort,verb,belongs
514,klinkt,verb,sounds
515,terwijl,conjunction,while
516,vriendin,noun,female friend
517,welkom,adjective,welcome
518,team,noun,team
519,rond,adverb,round
520,president,noun,president
521,oorlog,noun,war
522,duidelijk,adjective,clearly
523,jaren,noun,years
524,rest,noun,rest
525,schuld,noun,debt
526,avond,noun,evening
527,eerlijk,adjective,honestly
528,fijn,adjective,fine
529,mond,noun,mouth
530,buurt,noun,neighbourhood
531,drinken,verb,drinks
532,telefoon,noun,telephone
533,per,preposition,per
534,wapen,noun,weapon
535,liet,verb,left
536,belangrijk,adjective,important
537,kreeg,verb,got
538,ouders,noun,parents
539,stuk,noun,piece
540,rust,noun,peace
541,vandaan,preposition,from
542,kennen,verb,know
543,Jezus,noun,Jesus
544,deel,noun,part
545,baan,noun,track
546,kapitein,noun,captain
547,erop,adverb,on top
548,geluk,noun,luck
549,dezelfde,pronoun,the same
550,overal,adverb,everywhere
551,schip,noun,ship
552,heren,noun,Gentlemen
553,gegeven,adjective,datum
554,anderen,others,others
555,zeer,adjective,very
556,langs,adverb,by
557,mam,noun,Mom
558,recht,adjective,straight
559,lichaam,noun,body
560,aardig,adjective,nice
561,vertrouwen,noun,to trust
562,ermee,with it,with it
563,neemt,verb,takes
564,vanaf,preposition,from
565,vaak,adverb,often
566,boek,noun,book
567,mezelf,pronoun,myself
568,zetten,verb,to make
569,stil,adjective,quiet
570,ok,noun,OK
571,kerel,noun,guy
572,betalen,verb,pay
573,geval,noun,case
574,miljoen,,million
575,tweede,adjective,second
576,haat,noun,hate
577,hard,adjective,hard
578,inderdaad,adverb,indeed
579,woord,noun,word
580,stond,noun,was standing
581,hond,noun,dog
582,straks,adverb,soon
583,weken,verb,to soften
584,film,noun,movie
585,antwoord,noun,answer
586,veranderen,verb,change
587,licht,adjective,light
588,houd,verb,loves
589,pa,noun,dad
590,tijdens,during the day,during the day
591,lieverd,noun,Darling
592,liever,adverb,rather
593,kwaad,adjective,angry
594,ontmoet,verb,meet
595,nergens,adverb,nowhere
596,gebruikt,adjective,used
597,schatje,noun,baby
598,verloren,adjective,lost
599,koning,noun,king
