Unnamed: 0,Dutch,POS,Translation
800,geest,noun,spirit
801,gingen,verb,used to go
802,straat,noun,street
803,slechts,adverb,only
804,verkeerde,adjective,wrong
805,slaan,verb,to beat
806,FBI,FBI,FBI
807,afgelopen,adjective,last
808,hotel,noun,hotel
809,bekend,adjective,known
810,ene,one,one
811,ruimte,noun,room
812,lange,adjective,long
813,trouwens,adverb,Incidentally
814,feest,noun,party
815,vliegen,verb,to fly
816,boot,noun,boat
817,meester,noun,master
818,doel,noun,goal
819,zolang,conjunction,so long
820,regels,noun,lines
821,stomme,noun,stupid
822,begonnen,verb,started
823,zak,noun,bag
824,absoluut,adverb,absolute
825,spreek,adjective,speak
826,stom,adjective,stupid
827,bestaat,verb,consists
828,welk,conjunction,which
829,gevaarlijk,adjective,dangerous
830,jawel,interjection,Yes
831,mocht,verb,was allowed
832,goedemorgen,interjection,Good morning
833,wilden,verb,wild ones
834,erger,adjective,worse
835,vreselijk,adjective,horrible
836,zodra,conjunction,as soon
837,geraakt,adjective,touched
838,nadat,conjunction,once
839,vertrouw,trust,trust
840,kolonel,noun,colonel
841,voelde,verb,felt
842,kleren,noun,clothes
843,rug,noun,back
844,naast,adjective,next
845,totdat,conjunction,until
846,verliefd,adjective,in love
847,lukt,verb,succeeds
848,wonen,verb,to live
849,lieve,noun,dear
850,gaten,noun,holes
851,raar,adjective,weird
852,geprobeerd,verb,tried
853,geleerd,adjective,learned
854,erover,about it,about it
855,raad,noun,council
856,volg,verb,follow
857,verkopen,verb,to sell
858,geweldige,adjective,great
859,zover,adverb,as far
860,red,adjective,ed
861,woont,verb,lives
862,Amerika,noun,America
863,lul,noun,dick
864,gedacht,verb,thought
865,bewijzen,verb,prove
866,prijs,noun,price
867,www,www,www
868,raken,verb,touch
869,voorstellen,verb,to suggest
870,vorige,adjective,previous
871,regel,noun,rule
872,schrijven,verb,to write
873,rot,noun,rot
874,gebouw,noun,building
875,trekken,verb,Pull
876,herinneren,verb,to remind
877,dansen,noun,dancing
878,gebracht,verb,brought
879,meeste,most,most
880,koud,adjective,cold
881,jammer,adjective,Shame
882,wegwezen,verb,get out
883,macht,noun,power
884,drugs,noun,drugs
885,geboren,adjective,born
886,dragen,verb,wear
887,keuze,noun,choice
888,gefeliciteerd,interjection,congratulations
889,situatie,noun,situation
890,missen,verb,to miss
891,honger,noun,hungry
892,betaald,adjective,paid
893,liefje,noun,Darling
894,duurt,verb,takes
895,schelen,verb,care
896,kaart,noun,card
897,rij,noun,queue
898,bal,noun,ball
899,werkte,verb,worked
