Unnamed: 0,Dutch,POS,Translation
700,verdomde,adjective,damn
701,hierheen,adjective,over here
702,punt,noun,point
703,toekomst,noun,future
704,probeerde,verb,attempted
705,half,noun,half
706,leger,noun,army
707,waard,adjective,worth
708,opnieuw,adverb,again
709,val,noun,fall
710,vuur,noun,firework
711,bewijs,noun,proof
712,controle,noun,check
713,stellen,verb,set
714,tv,abbreviation,TV
715,loop,noun,walk
716,woorden,noun,words
717,droom,noun,dream
718,begrijpen,verb,to understand
719,eet,adjective,eat
720,bedoelt,verb,means
721,onzin,noun,nonsense
722,serieus,adjective,serious
723,konden,verb,could
724,nietwaar,not true,not true
725,verlaten,verb,to leave
726,pistool,noun,pistol
727,gekregen,verb,got
728,men,pronoun,men
729,brengt,verb,brings
730,fantastisch,adjective,fantastic
731,trots,noun,pride
732,ziens,goodbye,goodbye
733,ongeluk,noun,accident
734,geheim,adjective,secret
735,vroeger,adverb,earlier
736,veranderd,adjective,changed
737,eentje,one,one
738,werden,verb,became
739,begon,verb,began
740,verliezen,noun,to lose
741,probeert,verb,tries
742,vliegtuig,noun,aeroplane
743,let,noun,please
744,slim,adjective,smart
745,juiste,adjective,right one
746,langer,adverb,longer
747,slaap,noun,sleep
748,lezen,verb,read
749,ongeveer,adverb,about
750,behalve,preposition,except
751,meid,noun,girl
752,oom,noun,uncle
753,gered,verb,saved
754,bank,noun,Bank
755,generaal,noun,general
756,dienst,noun,employ
757,tenminste,adverb,at least
758,lief,adjective,sweet
759,noem,verb,name
760,gedood,verb,killed
761,vraagt,verb,asks
762,boos,adjective,angry
763,spullen,verb,stuff
764,volgen,verb,to follow
765,sturen,verb,to steer
766,hemel,noun,heaven
767,makkelijk,adjective,comfortable
768,ter,preposition,ter
769,genomen,verb,taken
770,grootste,adjective,largest
771,gebeurde,verb,happened
772,kwamen,verb,came
773,excuseer,verb,excuse me
774,meter,noun,meters
775,weinig,adjective,few
776,iedere,adjective,every
777,moordenaar,noun,killer
778,luisteren,verb,listen
779,begrijpt,verb,understands
780,gevaar,noun,danger
781,ieder,pronoun,every
782,sommige,adjective,some
783,via,preposition,through
784,succes,noun,good luck
785,vertrekken,verb,to leave
786,muziek,noun,music
787,gestolen,adjective,stolen
788,meest,adjective,most
789,hoef,noun,hoof
790,advocaat,noun,lawyer
791,kijkt,verb,looks
792,helpt,verb,helps
793,afspraak,noun,appointment
794,maand,noun,month
795,zwarte,adjective,black
796,seconden,noun,seconds
797,sterk,adjective,strong
798,foto's,noun,photos
799,lijken,verb,corpses
