Unnamed: 0,Dutch,POS,Translation
300,hen,pronoun,them
301,stop,noun,Stop
302,eigen,adjective,own
303,kleine,adjective,little
304,hoop,noun,heap
305,wou,verb,wish
306,vermoord,verb,murdered
307,elke,pronoun,each
308,krijg,noun,get
309,horen,verb,to belong
310,gelijk,adjective,directly
311,bijna,adverb,almost
312,zouden,verb,would
313,open,adjective,Open
314,orde,noun,order
315,begrijp,noun,understand
316,hoofd,noun,head
317,gebeurt,verb,happens
318,kant,noun,side
319,vrienden,noun,friends
320,houdt,verb,holds
321,eigenlijk,adverb,actually
322,alsof,conjunction,as if
323,pak,noun,business suit
324,geeft,verb,gives
325,politie,noun,Police
326,precies,adverb,precisely
327,wachten,verb,to wait
328,familie,noun,family
329,verder,adjective,further
330,zat,adjective,fed up
331,soms,adverb,sometimes
332,werken,verb,to work
333,bel,noun,call
334,voel,verb,feel
335,kind,noun,child
336,probeer,verb,try
337,ding,noun,thing
338,minuten,noun,minutes
339,krijgt,verb,gets
340,zet,noun,sets
341,vijf,noun,five
342,gehad,verb,had
343,haal,noun,get
344,gemaakt,adjective,made
345,hè,interjection,Hey
346,manier,noun,way
347,dagen,verb,to dawn
348,zoek,adjective,search
349,heet,adjective,is called
350,volgende,adjective,next one
351,daarom,conjunction,therefore
352,gehoord,verb,heard
353,pas,adverb,pass
354,werkt,verb,works
355,vanavond,adverb,this evening
356,volgens,adverb,according to
357,best,adjective,best
358,pijn,noun,pain
359,kans,noun,opportunity
360,eruit,adverb,out
361,help,interjection,Help
362,plaats,noun,place
363,hoeveel,adverb,how many
364,vroeg,adjective,asked
365,oude,noun,old
366,stad,noun,city
367,zoeken,verb,to search
368,ogen,noun,eyes
369,jezelf,pronoun,yourself
370,geloven,verb,to believe
371,moment,noun,moment
372,kamer,noun,room
373,schiet,verb,shoot
374,vier,noun,four
375,vindt,verb,finds
376,word,verb,become
377,agent,noun,agent
378,slecht,adjective,bad
379,verteld,verb,told
380,brengen,verb,to take
381,blij,adjective,pleased
382,hulp,noun,staff
383,welke,adjective,which
384,blijft,verb,stays
385,ligt,verb,is
386,broer,noun,brother
387,school,noun,school
388,tussen,preposition,between
389,deur,noun,door
390,spreken,verb,speak
391,plan,noun,plan
392,dollar,noun,dollars
393,handen,adjective,hands
394,ergens,adverb,somewhere
395,dr.,dr.,Dr.
396,klopt,verb,Correct
397,breng,verb,bring
398,dokter,noun,doctor
399,juist,adjective,correct
