Unnamed: 0,Dutch,POS,Translation
200,hallo,noun,Hello
201,leuk,adjective,nice
202,sorry,interjection,Sorry
203,alle,adjective,all
204,elkaar,adverb,each other
205,toe,preposition,to
206,wist,verb,knew
207,zegt,verb,say
208,bedoel,verb,mean
209,blijf,verb,stay
210,alsjeblieft,interjection,please
211,lang,adjective,long
212,meneer,abbreviation,sir
213,ziet,verb,sees
214,maakt,verb,makes
215,luister,noun,listen
216,dingen,verb,stuff
217,mooi,adjective,Nice
218,werd,verb,became
219,eerste,adjective,first
220,graag,adverb,Please
221,natuurlijk,adverb,Naturally
222,houden,verb,to hold
223,zonder,preposition,without
224,steeds,adverb,still
225,krijgen,verb,to get
226,grote,adjective,great
227,achter,adverb,behind
228,helemaal,adverb,absolutely
229,naam,noun,name
230,gek,adjective,crazy
231,blijven,verb,to stay
232,onder,adverb,below
233,vriend,noun,friend
234,geweest,been,been
235,kijken,verb,to look
236,geven,verb,to give
237,ging,verb,went
238,vertellen,verb,narrate
239,ooit,adverb,ever
240,snel,adverb,fast
241,hand,noun,hand
242,idee,noun,idea
243,goede,noun,good
244,auto,adjective,car
245,kwam,verb,came
246,verdomme,interjection,damn
247,beetje,noun,bit
248,moest,verb,had to
249,kinderen,noun,children
250,wanneer,adverb,when
251,gebeurd,verb,happened
252,jongen,noun,boy
253,bang,adjective,anxious
254,vraag,noun,ask
255,lijkt,verb,seems
256,geweldig,adjective,awesome
257,paar,noun,couple
258,hoor,verb,hear
259,laatste,noun,last
260,deed,verb,did
261,nieuwe,adjective,new ones
262,vragen,verb,to ask
263,kun,can,can
264,zag,verb,saw
265,zorgen,verb,to assure
266,staan,verb,to stand
267,wereld,noun,world
268,eten,verb,to eat
269,jongens,adjective,guys
270,enige,adjective,only one
271,zelf,pronoun,yourself
272,want,conjunction,because
273,nemen,verb,to take
274,heen,adverb,to
275,zo'n,noun,Sun
276,beste,Best,Best
277,ken,verb,know
278,vandaag,adverb,Today
279,zelfs,adverb,even
280,ie,ie,i.e
281,gezegd,verb,said
282,hadden,verb,had
283,vertel,verb,tell
284,eerst,adjective,first
285,gevonden,verb,found it
286,zoon,noun,son
287,buiten,adverb,outside
288,samen,adverb,together
289,denken,verb,think
290,geloof,noun,believe
291,morgen,adverb,tomorrow
292,geleden,adverb,past
293,meisje,noun,girl
294,thuis,adverb,At home
295,denkt,verb,thinks
296,rustig,adjective,Calm
297,mannen,adjective,men
298,halen,verb,to fetch
299,probleem,noun,problem
