Unnamed: 0,Dutch,POS,Translation
100,nou,adverb,Well
101,mee,noun,along
102,misschien,adverb,maybe
103,even,adverb,for a bit
104,iemand,pronoun,someone
105,komt,verb,comes
106,niets,noun,nothing
107,zei,verb,said
108,hou,verb,love
109,komen,verb,come
110,mensen,noun,people
111,onze,pronoun,our
112,nodig,adjective,necessary
113,tot,preposition,until
114,worden,verb,become
115,veel,adverb,a lot of
116,weten,verb,know
117,leven,noun,to live
118,wij,pronoun,We
119,weer,noun,weather
120,gewoon,adverb,Ordinary
121,kijk,noun,look
122,zeggen,verb,say
123,tijd,noun,time
124,zeg,interjection,say
125,twee,noun,two
126,toen,conjunction,when
127,tegen,preposition,in return for
128,zit,noun,sit
129,net,adverb,just
130,dood,noun,dead
131,uw,pronoun,your
132,wordt,verb,is becoming
133,hé,interjection,Hey
134,maken,verb,to make
135,mag,noun,allowed
136,één,noun,An
137,z'n,his,his
138,omdat,conjunction,because
139,gedaan,adjective,done
140,heel,adjective,all
141,af,adverb,off
142,altijd,adverb,always
143,jouw,pronoun,your
144,zeker,adjective,Certainly
145,geef,verb,give
146,zie,interjection,see
147,wacht,noun,guard
148,allemaal,pronoun,all
149,jaar,noun,year
150,doet,verb,do
151,dag,noun,day
152,zij,pronoun,she
153,hun,pronoun,their
154,huis,noun,house
155,vader,noun,father
156,dank,noun,thanks
157,dacht,verb,thought
158,kunt,verb,can
159,zoals,adverb,as
160,vrouw,noun,woman
161,keer,noun,time
162,anders,adverb,otherwise
163,andere,adjective,Others
164,willen,verb,want
165,erg,adverb,terribly
166,spijt,noun,sorry
167,bedankt,interjection,Thank you
168,niemand,noun,no one
169,wilt,verb,want
170,geld,noun,money
171,zitten,verb,to sit
172,niks,pronoun,nothing
173,iedereen,pronoun,everyone
174,binnen,adverb,inside
175,staat,noun,stands
176,wilde,noun,wild
177,zich,pronoun,himself
178,beter,adverb,better
179,werk,noun,work
180,praten,verb,to talk
181,gezien,adjective,seen
182,zullen,verb,shall
183,waren,noun,goods
184,god,noun,God
185,maak,noun,make
186,neem,verb,take
187,vinden,verb,find
188,vind,verb,find
189,moeder,noun,mother
190,kon,verb,could
191,uur,noun,o'clock
192,klaar,adjective,finished
193,genoeg,adjective,enough
194,helpen,verb,to help
195,oh,interjection,Oh
196,hele,adjective,whole
197,drie,,three
198,vast,adjective,fixed
199,na,preposition,after
