Unnamed: 0,Dutch,POS,Translation
400,vond,verb,found
401,praat,noun,talk
402,prima,adjective,fine
403,betekent,verb,means
404,soort,noun,kind
405,zaak,noun,case
406,proberen,verb,to attempt
407,jack,jack,jack
408,spelen,verb,to play
409,lekker,adjective,Tasty
410,doden,verb,kill
411,gebruiken,verb,to use
412,groot,adjective,big
413,kent,noun,knows
414,boven,adverb,above
415,water,noun,water
416,problemen,noun,issues
417,land,noun,country
418,sta,interjection,stand
419,later,adverb,later
420,papa,noun,Daddy
421,pakken,verb,to take
422,week,noun,week
423,schat,noun,Darling
424,voordat,preposition,before
425,zoveel,adverb,so much
426,vrij,adjective,free
427,echte,adjective,real
428,stoppen,verb,fuses
429,klootzak,noun,asshole
430,beginnen,verb,to start
431,alstublieft,interjection,Please
432,zodat,conjunction,so that
433,zorg,noun,concern
434,mooie,adjective,nice
435,wees,noun,orphan
436,vermoorden,verb,murder
437,mis,adjective,wrong
438,vooruit,adverb,forward
439,bellen,verb,to call
440,dochter,noun,daughter
441,vrouwen,noun,women
442,tien,noun,ten
443,hoeft,verb,need
444,lopen,verb,to walk
445,hart,noun,heart
446,snap,verb,get it
447,voorbij,adjective,past
448,los,adjective,loose
449,vergeten,verb,forget
450,gebeuren,verb,to happen
451,bloed,noun,blood
452,druk,noun,Busy
453,verhaal,noun,story
454,moeilijk,adjective,difficult
455,hoi,Hi,Hi
456,zes,noun,six
457,eerder,adverb,earlier
458,neer,adverb,down
459,ervan,pronoun,of it
460,bed,noun,bed
461,nacht,noun,night
462,bezig,adjective,busy
463,wakker,adjective,awake
464,redden,verb,to rescue
465,klein,adjective,small
466,gekomen,verb,came
467,sinds,adverb,since
468,kop,noun,head
469,zult,verb,will
470,begrepen,interjection,understood
471,plek,noun,place
472,veilig,adjective,safe
473,stel,noun,couple
474,vol,adjective,full
475,nummer,noun,number
476,waarheid,noun,truth
477,zoiets,noun,something like that
478,mevrouw,abbreviation,Madam
479,leren,verb,to learn
480,hetzelfde,pronoun,the same
481,gaf,verb,gave
482,baby,noun,baby
483,baas,noun,boss
484,gelukkig,adjective,happy
485,meteen,adverb,immediately
486,beneden,adverb,downstairs
487,waarschijnlijk,adverb,probably
488,sterven,verb,die
489,gezicht,noun,sight
490,begin,noun,get started
491,mogelijk,adjective,possible
492,mama,noun,mom
493,dicht,adjective,closed
494,zaken,noun,Affairs
495,liggen,verb,lie
496,nieuws,noun,news
497,ander,adjective,other
498,eraan,to it,to it
499,liefde,noun,love
