,index,Dutch,Frequency,cumsum
0,1400,dikke,9260,93.42238094847288
1,1401,rol,9253,93.42753633495836
2,1402,kerels,9245,93.43268726417679
3,1403,tijden,9242,93.43783652192009
4,1404,misdaad,9232,93.4429802080796
5,1405,homo,9231,93.44812333708072
6,1406,leef,9230,93.45326590892347
7,1407,springen,9228,93.45840736644945
8,1408,directeur,9223,93.46354603818354
9,1409,erachter,9221,93.46868359560088
10,1410,start,9220,93.47382059585982
11,1411,wezen,9216,93.47895536748526
12,1412,rijdt,9213,93.48408846763554
13,1413,duizend,9204,93.48921655336044
14,1414,wow,9182,93.49433238160096
15,1415,prins,9166,93.49943929530741
16,1416,antwoorden,9164,93.50454509469712
17,1417,raakte,9155,93.5096458796614
18,1418,tekenen,9146,93.51474165020026
19,1419,vieren,9139,93.51983352063048
20,1420,perfecte,9133,93.52492204811041
21,1421,zorgt,9123,93.53000500400655
22,1422,behoorlijk,9105,93.53507793105186
23,1423,majesteit,9105,93.54015085809716
24,1424,luistert,9102,93.54522211366734
25,1425,waarover,9091,93.55028724049534
26,1426,nadenken,9091,93.55535236732332
27,1427,volgt,9065,93.56040300803346
28,1428,neef,9061,93.56545142011007
29,1429,gestoord,9050,93.57049370344451
30,1430,vertaald,9048,93.57553487246219
31,1431,mijnheer,9044,93.58057381284634
32,1432,gewone,9031,93.58560551017156
33,1433,taak,9030,93.59063665033841
34,1434,Londen,9029,93.59566723334689
35,1435,aanvallen,9027,93.60069670203859
36,1436,opa,9021,93.60572282778001
37,1437,rook,9016,93.61074616772956
38,1438,geweten,9014,93.61576839336233
39,1439,trouw,8996,93.62078059014426
40,1440,signaal,8995,93.62579222976784
41,1441,kussen,8983,93.63079718349084
42,1442,ouder,8982,93.63580158005547
43,1443,dankzij,8981,93.64080541946173
44,1444,lach,8979,93.64580814455122
45,1445,sporen,8953,93.65079638352285
46,1446,jas,8918,93.65576512195119
47,1447,godverdomme,8917,93.66073330322115
48,1448,ster,8916,93.66570092733274
49,1449,sloeg,8903,93.67066130838538
50,1450,verschrikkelijk,8900,93.6756200179629
51,1451,vlug,8879,93.68056702721444
52,1452,tegenhouden,8861,93.68550400761515
53,1453,wonder,8858,93.69043931654072
54,1454,toegang,8849,93.69536961104087
55,1455,afdeling,8841,93.700295448274
56,1456,pad,8838,93.70521961403199
57,1457,besloten,8836,93.71014266547321
58,1458,vorm,8833,93.71506404543929
59,1459,uren,8829,93.71998319677186
60,1460,stopt,8826,93.72490067662929
61,1461,medicijnen,8824,93.72981704216996
62,1462,bek,8820,93.73473117907712
63,1463,majoor,8815,93.73964253019237
64,1464,gekozen,8787,93.744538280873
65,1465,beveiliging,8786,93.74943347439525
66,1466,ah,8779,93.75432476780884
67,1467,fijne,8772,93.75921216111378
68,1468,controleren,8771,93.76409899726033
69,1469,onschuldig,8758,93.76897859034796
70,1470,dossier,8758,93.77385818343558
71,1471,boel,8737,93.77872607619723
72,1472,durf,8737,93.78359396895888
73,1473,maan,8726,93.78845573297836
74,1474,post,8721,93.79331471120595
75,1475,auto's,8720,93.79817313227515
76,1476,betreft,8718,93.8030304390276
77,1477,leeftijd,8713,93.80788495998814
78,1478,toevallig,8712,93.8127389237903
79,1479,bos,8709,93.81759121611734
80,1480,waarin,8706,93.82244183696923
81,1481,ineens,8693,93.82728521476218
82,1482,overleden,8693,93.83212859255514
83,1483,Clark,8657,93.83695191264644
84,1484,kosten,8655,93.84177411842097
85,1485,gemeen,8653,93.84659520987874
86,1486,landen,8645,93.85141184406949
87,1487,enorm,8643,93.85622736394347
88,1488,sommigen,8641,93.86104176950069
89,1489,opeens,8637,93.8658539464244
90,1490,senator,8617,93.8706549801805
91,1491,gedoe,8611,93.87545267098635
92,1492,enorme,8597,93.88024256157487
93,1493,bloemen,8585,93.88502576626284
94,1494,steen,8582,93.88980729947568
95,1495,opzij,8577,93.8945860468966
96,1496,openen,8576,93.89936423715916
97,1497,tanden,8572,93.9041401987882
98,1498,hersenen,8571,93.90891560325886
99,1499,getuigen,8567,93.913688779096
100,1500,halve,8556,93.91845582619096
101,1501,verdwijnen,8543,93.92321563022699
102,1502,gelogen,8536,93.92797153415437
103,1503,past,8532,93.93272520944824
104,1504,bespreken,8513,93.93746829873288
105,1505,motor,8513,93.94221138801753
106,1506,ontsnapt,8505,93.94695002003513
107,1507,momentje,8496,93.95168363762733
108,1508,ontbijt,8480,93.95640834068546
109,1509,toilet,8477,93.96113137226844
110,1510,uitzoeken,8469,93.96584994658438
111,1511,volwassen,8435,93.97054957751544
112,1512,eeuwig,8408,93.97523416517024
113,1513,afmaken,8391,93.97990928113258
114,1514,dol,8391,93.98458439709493
115,1515,terecht,8387,93.98925728442376
116,1516,oren,8357,93.99391345700121
117,1517,machine,8354,93.99856795810352
118,1518,verpest,8345,94.0032174447804
119,1519,verlaat,8343,94.00786581714054
120,1520,klootzakken,8316,94.01249914622443
121,1521,top,8306,94.01712690372452
122,1522,gemakkelijk,8286,94.02174351805702
123,1523,gearresteerd,8285,94.02635957523114
124,1524,doos,8276,94.03097061797985
125,1525,geschoten,8274,94.0355805464118
126,1526,gegeten,8273,94.04018991768537
127,1527,betaalt,8272,94.04479873180055
128,1528,rare,8272,94.04940754591574
129,1529,big,8267,94.05401357423904
130,1530,ochtend,8262,94.05861681677042
131,1531,ruikt,8261,94.06321950214344
132,1532,huid,8251,94.06781661593266
133,1533,trut,8241,94.07240815813809
134,1534,verhalen,8226,94.07699134296782
135,1535,verraden,8217,94.08156951337213
136,1536,tonen,8211,94.08614434082617
137,1537,hopen,8208,94.09071749680507
138,1538,virus,8208,94.09529065278397
139,1539,bedoeling,8206,94.09986269444612
140,1540,officier,8204,94.1044336217915
141,1541,schreef,8194,94.10899897755309
142,1542,krachten,8191,94.11356266183954
143,1543,papieren,8190,94.1181257889676
144,1544,bijzonder,8189,94.1226883589373
145,1545,betekenen,8186,94.12724925743184
146,1546,opnemen,8186,94.1318101559264
147,1547,strand,8185,94.13637049726258
148,1548,rapport,8183,94.14092972428199
149,1549,binnenkort,8163,94.1454778081338
150,1550,twijfel,8158,94.15002310619373
151,1551,inspecteur,8157,94.15456784709528
152,1552,gekke,8146,94.15910645925466
153,1553,veld,8121,94.16363114245453
154,1554,rechercheur,8111,94.16815025407062
