,index,Dutch,Frequency,cumsum
0,1800,sterren,6768,95.17813186344256
1,1801,papier,6768,95.18190271135498
2,1802,gezelschap,6764,95.1856713306339
3,1803,jouwe,6763,95.18943939275442
4,1804,koers,6759,95.19320522624143
5,1805,doorheen,6753,95.19696771677816
6,1806,kilo,6751,95.20072909299815
7,1807,stukken,6750,95.20448991205974
8,1808,volle,6743,95.20824683101267
9,1809,storm,6737,95.21200040701534
10,1810,harde,6735,95.21575286870124
11,1811,data,6735,95.21950533038715
12,1812,black,6731,95.22325556343954
13,1813,beslist,6727,95.2270035678584
14,1814,vloer,6722,95.23074878648536
15,1815,geheugen,6721,95.23449344795397
16,1816,reken,6713,95.23823365215551
17,1817,liedje,6708,95.24197107056517
18,1818,blijkt,6700,95.24570403170779
19,1819,contract,6699,95.24943643569203
20,1820,eigenaar,6698,95.25316828251789
21,1821,verdiend,6698,95.25690012934376
22,1822,ernstig,6691,95.26062807606097
23,1823,bende,6685,95.2643526798279
24,1824,pers,6681,95.2680750549613
25,1825,gozer,6665,95.27178851556064
26,1826,lid,6664,95.2755014190016
27,1827,hiervoor,6662,95.2792132081258
28,1828,uitgenodigd,6657,95.2829222114581
29,1829,blauw,6655,95.28663010047364
30,1830,taart,6652,95.29033631801406
31,1831,steun,6649,95.29404086407932
32,1832,moeders,6647,95.29774429582783
33,1833,stilte,6639,95.3014432703093
34,1834,toeval,6638,95.3051416876324
35,1835,cent,6621,95.30883063326304
36,1836,gevangene,6620,95.3125190217353
37,1837,verliest,6608,95.31620072430701
38,1838,eenheid,6605,95.31988075540357
39,1839,roepen,6597,95.32355632923311
40,1840,wiens,6595,95.32723078874588
41,1841,dader,6594,95.33090469110027
42,1842,aannemen,6587,95.33457469334601
43,1843,talent,6583,95.33824246695823
44,1844,herinnert,6581,95.3419091262537
45,1845,hemelsnaam,6575,95.34557244259888
46,1846,vandoor,6570,95.34923297315217
47,1847,ondertiteling,6567,95.35289183223031
48,1848,borst,6564,95.35654901983332
49,1849,you,6554,95.36020063585254
50,1850,koken,6554,95.36385225187176
51,1851,westen,6552,95.36750275357421
52,1852,lenen,6550,95.37115214095991
53,1853,dans,6545,95.37479874255371
54,1854,aandoen,6538,95.37844144403886
55,1855,omgeving,6537,95.38208358836562
56,1856,miljoenen,6532,95.38572294690049
57,1857,vergissing,6531,95.38936174827697
58,1858,schepen,6509,95.39298829216911
59,1859,gezond,6508,95.39661427890286
60,1860,ren,6506,95.40023915131987
61,1861,bijvoorbeeld,6504,95.4038629094201
62,1862,tegenover,6503,95.40748611036196
63,1863,verstopt,6488,95.41110095392813
64,1864,korte,6488,95.4147157974943
65,1865,vreselijke,6478,95.41832506947668
66,1866,Chicago,6474,95.42193211282553
67,1867,klus,6472,95.42553804185762
68,1868,graden,6469,95.42914229941458
69,1869,sterke,6455,95.43273875675423
70,1870,groene,6449,95.4363318711436
71,1871,jazeker,6435,95.43991718531565
72,1872,beslissen,6435,95.4435024994877
73,1873,zuiden,6424,95.44708168491759
74,1874,lord,6423,95.45066031318909
75,1875,gaande,6412,95.45423281271842
76,1876,verdieping,6408,95.45780308361422
77,1877,magie,6403,95.46137056871814
78,1878,erom,6400,95.4649363823469
79,1879,snelheid,6399,95.4685016388173
80,1880,voren,6399,95.4720668952877
81,1881,kunst,6386,95.47562490869915
82,1882,kelder,6368,95.47917289325979
83,1883,redt,6361,95.48271697771175
84,1884,arresteren,6359,95.48625994784696
85,1885,gewacht,6359,95.48980291798217
86,1886,kwestie,6358,95.49334533095902
87,1887,bidden,6335,95.49687492929311
88,1888,beelden,6335,95.50040452762723
89,1889,niveau,6330,95.50393134016943
90,1890,hartelijk,6327,95.5074564812365
91,1891,geduld,6320,95.51097772219491
92,1892,gespeeld,6305,95.51449060577764
93,1893,schattig,6304,95.51800293220198
94,1894,nauwelijks,6298,95.52151191567604
95,1895,pond,6296,95.52501978483335
96,1896,bepaald,6287,95.52852263956524
97,1897,King,6284,95.53202382282198
98,1898,ruim,6277,95.53552110597008
99,1899,leerde,6271,95.53901504616789
100,1900,duur,6269,95.54250787204896
101,1901,nogmaals,6267,95.54599958361325
102,1902,tuin,6266,95.54949073801917
103,1903,zaterdag,6262,95.55297966379158
104,1904,ondanks,6250,95.55646190366342
105,1905,wijs,6249,95.55994358637689
106,1906,behandelen,6243,95.56342192614008
107,1907,yo,6241,95.56689915158651
108,1908,ruik,6239,95.5703752627162
109,1909,gebouwd,6237,95.57385025952911
110,1910,liefste,6234,95.57732358486689
111,1911,bergen,6232,95.5807957958879
112,1912,aankomen,6228,95.5842657782754
113,1913,gave,6224,95.58773353202938
114,1914,pakt,6222,95.59120017146661
115,1915,ideeën,6214,95.59466235363679
116,1916,ontvoerd,6214,95.59812453580697
117,1917,verzoek,6212,95.60158560366041
118,1918,kast,6208,95.60504444288031
119,1919,Sean,6207,95.60850272494184
120,1920,geesten,6196,95.6119548782612
121,1921,orders,6193,95.61540536010541
122,1922,droeg,6190,95.61885417047449
123,1923,leugen,6189,95.6223024236852
124,1924,hielp,6186,95.62574900542076
125,1925,kerstmis,6184,95.62919447283956
126,1926,gelul,6179,95.63263715446647
127,1927,gedeelte,6177,95.6360787217766
128,1928,mevr.,6175,95.63951917476999
129,1929,ontmoette,6175,95.64295962776337
130,1930,edelachtbare,6166,95.64639506633135
131,1931,flat,6163,95.64982883342418
132,1932,tong,6163,95.65326260051701
133,1933,logisch,6160,95.6566946961347
134,1934,daardoor,6159,95.66012623459402
135,1935,controleer,6156,95.6635561015782
136,1936,stroom,6153,95.66698429708723
137,1937,afscheid,6149,95.67041026396275
138,1938,gevangenen,6146,95.67383455936313
139,1939,saai,6146,95.67725885476351
140,1940,Marcus,6134,95.68067646426334
141,1941,militaire,6130,95.68409184512964
142,1942,opgewonden,6129,95.68750666883757
143,1943,makkelijker,6124,95.6909187067536
144,1944,zuid,6123,95.69433018751126
145,1945,stenen,6123,95.69774166826892
146,1946,lieg,6121,95.7011520347098
147,1947,wc,6121,95.7045624011507
148,1948,herinneringen,6120,95.70797221043321
149,1949,badkamer,6113,95.71137811960708
150,1950,vuren,6109,95.7147818001474
151,1951,fuck,6109,95.71818548068775
152,1952,cadeau,6106,95.72158748975295
153,1953,dertig,6105,95.72498894165977
